coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
-121.9781,37.3939,1670426460,5,1014.71,84.94,74.71,0.0,12.76,51.68,61.45,10.39
-121.9513,37.4939,1670426460,3,527.38,38.89,35.64,0.0,1.59,23.92,32.44,2.22
-83.7862,39.4294,1670426460,2,453.95,21.68,13.2,0.35,0.82,14.51,15.07,0.34
-80.7188,35.1403,1670426460,1,257.02,1.08,9.68,17.7,1.33,9.55,11.12,0.34
-95.4212,29.9805,1670426460,2,340.46,3.21,28.79,21.99,4.83,11.07,23.65,0.57
-71.1782,42.236,1670426460,1,267.03,0.21,19.19,52.93,3.16,3.56,4.64,0.49
-118.3013,34.1748,1670426460,4,814.44,78.68,52.09,0.0,5.19,38.82,58.68,6.71
-97.7701,30.435,1670426460,1,223.64,0.17,10.97,41.84,1.42,5.29,14.05,0.38
-119.4616,39.548,1670426460,3,514.03,0.1,53.47,16.63,3.58,24.67,36.61,2.6
-84.3838,39.2245,1670426460,2,453.95,18.33,11.14,0.48,0.5,13.74,16.41,0.56
-118.4924,34.1982,1670426460,3,607.49,36.21,37.01,0.0,3.76,24.09,31.68,4.12
-121.9322,37.4788,1670426460,3,527.38,38.89,35.64,0.0,1.59,23.92,32.44,2.22
-122.516,37.9634,1670426460,2,453.95,12.52,26.39,0.02,1.74,15.55,18.63,4.5
-121.8438,36.6171,1670426460,1,300.41,0.03,20.56,17.17,2.15,9.92,12.12,0.23
-121.994,37.5511,1670426460,3,527.38,38.89,35.64,0.0,1.59,23.92,32.44,2.22
-121.9882,37.406,1670426460,3,527.38,38.89,35.64,0.0,1.59,23.92,32.44,2.22
-74.0066,40.6831,1670426460,4,921.25,92.98,46.61,0.24,6.86,30.33,39.78,2.79
-95.5375,29.7362,1670426460,2,337.12,3.52,27.76,24.32,6.08,10.4,23.08,0.85
-121.9493,37.4982,1670426460,3,527.38,38.89,35.64,0.0,1.59,23.92,32.44,2.22
-119.4637,39.5492,1670426460,3,514.03,0.1,53.47,16.63,3.58,24.67,36.61,2.6
-121.9424,37.4778,1670426460,3,527.38,38.89,35.64,0.0,1.59,23.92,32.44,2.22
-74.6832,40.2975,1670426460,2,397.21,6.48,30.85,3.76,3.34,11.95,15.94,0.43
-122.4218,37.7844,1670426460,4,734.33,40.23,52.78,0.0,7.87,26.77,30.42,2.12
-117.9907,33.8636,1670426460,5,921.25,73.31,50.04,0.0,2.09,56.96,71.04,2.34
-98.6263,29.6553,1670426460,1,208.62,0.06,7.8,38.62,1.97,4.43,7.86,0.16
-86.0713,39.907,1670426460,2,327.11,1.22,11.31,12.88,0.44,12.39,13.49,0.32
-121.9411,37.4939,1670426460,3,527.38,38.89,35.64,0.0,1.59,23.92,32.44,2.22
-118.3277,33.9162,1670426460,5,1735.69,198.48,87.74,0.0,15.5,95.62,117.06,13.55
-122.1478,47.6294,1670426460,1,317.1,0.1,23.65,25.75,1.82,5.74,7.77,0.33
-80.0711,40.6461,1670426460,2,494.0,31.29,7.88,0.08,0.68,13.53,14.84,0.2
-95.8263,41.2413,1670426460,3,614.17,24.59,32.9,2.84,1.86,20.52,23.46,7.98
-85.5348,42.8636,1670426460,2,393.87,7.15,16.97,11.18,1.16,18.44,19.33,0.22
-121.2921,37.7985,1670426460,2,357.15,9.39,26.73,0.31,7.03,13.48,17.52,2.03
-118.4182,34.0581,1670426460,3,607.49,36.21,37.01,0.0,3.76,24.09,31.68,4.12
-122.0581,37.8962,1670426460,3,540.73,29.06,33.93,0.0,6.68,22.11,30.85,2.09
-81.8102,26.6139,1670426460,1,213.62,0.79,2.72,44.35,0.17,4.93,7.64,0.19
-121.9252,37.4708,1670426460,3,527.38,38.89,35.64,0.0,1.59,23.92,32.44,2.22
-96.8375,32.8324,1670426460,1,353.81,2.54,29.13,3.8,1.97,7.47,10.2,0.76
-122.6714,45.4918,1670426460,4,847.82,43.36,47.98,0.0,3.7,31.19,33.41,0.87
-111.8973,33.4217,1670426460,4,1014.71,71.53,49.35,0.02,1.15,36.9,57.04,2.5
-76.7563,39.4006,1670426460,1,310.42,2.85,17.14,10.91,1.8,9.15,10.82,0.16
-73.6256,41.0238,1670426460,2,507.36,8.38,67.86,6.35,11.44,16.84,19.64,0.54
-84.2761,34.0708,1670426460,1,233.65,0.18,8.65,18.95,1.16,4.08,5.67,0.25
-82.5216,27.964,1670426460,2,500.68,23.02,19.19,11.62,1.1,16.12,21.2,1.3
-104.9567,39.7175,1670426460,3,687.6,38.0,50.04,0.53,3.49,21.58,27.23,7.28
-122.171,37.4435,1670426460,4,567.44,25.93,58.95,0.0,10.73,28.42,34.02,0.85
-157.8588,21.2976,1670426460,2,178.58,0.0,1.54,77.96,0.63,4.6,20.85,0.05
-77.0242,38.8998,1670426460,1,393.87,11.74,20.56,4.43,2.65,8.13,11.42,0.7
-111.9003,40.7465,1670426460,4,420.57,2.21,61.01,8.76,3.73,26.67,30.45,3.07
-74.0076,40.7411,1670426460,4,921.25,92.98,46.61,0.24,6.86,30.33,39.78,2.79
-121.9716,37.3724,1670426460,5,1014.71,84.94,74.71,0.0,12.76,51.68,61.45,10.39
-122.2992,47.6616,1670426460,1,307.08,0.0,19.02,41.49,2.74,6.92,8.39,0.1
-80.085,26.8488,1670426460,1,210.29,0.21,1.82,76.53,0.54,3.66,6.54,0.05
-71.0839,42.3475,1670426460,1,267.03,0.21,19.19,52.93,3.16,3.56,4.64,0.49
-80.071,40.6462,1670426460,2,494.0,31.29,7.88,0.08,0.68,13.53,14.84,0.2
-86.2438,39.9428,1670426460,2,313.76,1.3,9.6,16.09,0.38,13.14,14.54,0.34
-88.0622,43.1162,1670426460,1,320.44,1.08,14.4,38.62,1.79,9.91,12.65,1.52
-90.0791,29.9208,1670426460,1,273.71,2.18,11.82,42.92,1.12,5.64,13.07,0.73
-122.391,47.2527,1670426460,1,330.45,0.02,22.62,29.68,2.74,7.29,8.86,0.23
-118.4997,34.224,1670426460,1,226.97,0.0,6.34,50.78,0.78,2.45,4.77,0.34
-86.8433,33.5327,1670426460,1,193.6,0.12,3.9,42.2,2.09,5.51,12.18,0.0
-81.5665,28.5597,1670426460,1,267.03,2.99,8.57,32.54,0.32,8.34,12.06,0.41
-88.1584,41.3908,1670426460,2,413.9,14.75,47.98,6.8,16.21,19.42,25.2,0.36
-122.3737,37.9202,1670426460,2,467.3,12.41,39.41,0.08,5.36,15.23,18.24,0.9
-90.5876,38.6688,1670426460,2,323.77,2.24,13.71,7.15,1.79,14.45,16.25,0.25
-83.1834,42.5631,1670426460,2,330.45,0.52,17.82,26.82,2.98,15.62,18.02,0.14
-81.8027,26.2133,1670426460,1,270.37,2.52,7.63,41.13,0.42,5.08,7.79,0.47
-157.8266,21.2783,1670426460,2,178.58,0.0,1.54,77.96,0.63,4.6,20.85,0.05
-74.3166,40.686,1670426460,2,393.87,7.71,30.16,3.67,2.44,10.35,15.39,0.38
-87.9783,41.8106,1670426460,3,527.38,20.56,45.24,7.51,4.41,21.72,26.56,0.86
-81.4938,41.5192,1670426460,2,387.19,16.09,30.5,0.87,2.86,13.59,14.83,0.68
-106.5771,31.8765,1670426460,2,247.0,4.36,10.54,1.24,0.08,7.63,32.9,1.11
-119.6757,36.779,1670426460,3,540.73,30.4,21.94,0.0,3.16,20.11,24.55,6.02
-85.5735,38.2152,1670426460,1,363.83,8.72,8.31,0.77,0.24,9.78,11.73,0.25
