coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
-122.9619,46.1394,2022-09-22 13:00:00,1,180.24,0.0,1.89,56.51,0.41,6.95,7.99,0.1
-122.9411,40.7347,2022-09-22 13:00:00,1,110.15,0.13,1.23,4.83,0.01,1.03,1.08,0.14
-122.9151,44.8103,2022-09-22 13:00:00,1,188.59,0.0,2.87,60.08,0.89,4.67,6.6,0.21
-122.9017,49.1583,2022-09-22 13:00:00,1,320.44,0.02,23.31,29.33,6.56,9.92,12.41,2.03
-122.8803,42.3316,2022-09-22 13:00:00,1,166.89,0.36,2.7,4.16,0.03,1.33,1.4,0.41
-122.8547,45.1431,2022-09-22 13:00:00,1,185.25,0.0,2.68,55.79,0.77,4.81,6.64,0.21
-122.8492,49.2808,2022-09-22 13:00:00,1,216.96,0.02,9.51,19.67,1.86,8.04,13.76,2.82
-122.8215,47.0293,2022-09-22 13:00:00,1,181.91,0.0,1.63,64.37,0.35,4.61,5.92,0.02
-122.8183,38.4038,2022-09-22 13:00:00,1,161.89,0.01,1.52,16.45,0.0,3.25,3.44,0.21
-122.8159,45.4702,2022-09-22 13:00:00,1,188.59,0.05,6.26,24.32,0.11,7.64,9.33,0.45
-122.8102,42.6232,2022-09-22 13:00:00,1,140.19,0.02,0.78,11.27,0.01,1.55,1.59,0.15
-122.7904,45.015,2022-09-22 13:00:00,1,185.25,0.0,2.83,60.08,0.68,4.99,6.8,0.23
-122.7877,42.2299,2022-09-22 13:00:00,1,175.24,0.19,3.98,8.58,0.1,1.63,1.78,1.27
-122.7789,48.1291,2022-09-22 13:00:00,1,206.95,0.0,4.93,47.92,1.28,9.49,11.21,0.07
-122.7721,45.7685,2022-09-22 13:00:00,1,206.95,0.0,7.71,35.76,1.25,8.01,10.08,0.36
-122.7455,45.3992,2022-09-22 13:00:00,1,193.6,0.0,4.84,55.08,1.04,5.35,7.18,0.27
-122.7376,45.5901,2022-09-22 13:00:00,1,205.28,0.0,7.54,43.63,1.34,6.36,8.34,0.38
-122.7305,44.3958,2022-09-22 13:00:00,1,170.23,0.0,1.48,57.22,0.25,4.25,5.63,0.27
-122.7089,49.2453,2022-09-22 13:00:00,2,210.29,0.0,6.26,27.54,2.68,11.69,17.14,1.68
-122.7086,42.1941,2022-09-22 13:00:00,1,195.27,0.03,7.54,22.89,0.07,1.85,2.16,9.25
-122.6942,49.1328,2022-09-22 13:00:00,2,313.76,0.01,18.85,36.12,5.54,10.09,12.78,2.63
-122.6881,45.5187,2022-09-22 13:00:00,1,205.28,0.0,7.54,43.63,1.34,6.36,8.34,0.38
-122.671,45.5581,2022-09-22 13:00:00,1,205.28,0.0,7.54,43.63,1.34,6.36,8.34,0.38
-122.66,48.2944,2022-09-22 13:00:00,2,243.66,0.0,9.77,48.64,1.51,10.56,12.51,0.1
-122.6533,45.5142,2022-09-22 13:00:00,1,205.28,0.0,7.54,43.63,1.34,6.36,8.34,0.38
-122.6336,41.7268,2022-09-22 13:00:00,1,138.52,0.35,1.78,3.22,0.01,0.62,0.66,0.7
-122.6274,47.5927,2022-09-22 13:00:00,1,180.24,0.0,1.69,50.07,0.24,6.58,8.3,0.0
-122.617,44.7787,2022-09-22 13:00:00,1,175.24,0.0,1.74,63.66,0.3,4.44,5.82,0.22
-122.6132,48.5201,2022-09-22 13:00:00,2,290.39,0.0,17.31,40.77,2.47,11.36,13.42,0.21
-122.6029,45.4966,2022-09-22 13:00:00,1,205.28,0.0,7.54,43.63,1.34,6.36,8.34,0.38
-122.6015,45.4714,2022-09-22 13:00:00,1,205.28,0.0,7.54,43.63,1.34,6.36,8.34,0.38
-122.5882,45.2593,2022-09-22 13:00:00,1,191.93,0.0,4.67,61.51,0.89,5.18,6.84,0.25
-122.5874,45.6434,2022-09-22 13:00:00,1,213.62,0.0,11.82,42.92,2.35,6.66,8.7,0.42
-122.5795,45.5418,2022-09-22 13:00:00,1,220.3,0.0,12.51,45.78,2.56,6.17,8.11,0.46
-122.5756,45.5622,2022-09-22 13:00:00,1,220.3,0.0,12.51,45.78,2.56,6.17,8.11,0.46
-122.5669,49.0956,2022-09-22 13:00:00,2,290.39,0.01,12.68,37.91,3.31,12.55,15.86,3.2
-122.56,48.4654,2022-09-22 13:00:00,2,303.75,0.0,18.17,40.05,4.17,12.12,14.35,0.48
-122.5544,48.9507,2022-09-22 13:00:00,1,267.03,0.0,11.65,59.37,5.01,9.51,10.95,1.08
-122.5189,37.9722,2022-09-22 13:00:00,1,186.92,0.12,6.26,18.77,0.14,4.1,4.75,0.8
-122.5166,45.6166,2022-09-22 13:00:00,1,213.62,0.0,11.82,42.92,2.35,6.66,8.7,0.42
-122.4834,45.4962,2022-09-22 13:00:00,1,220.3,0.0,12.51,45.78,2.56,6.17,8.11,0.46
-122.4805,43.7444,2022-09-22 13:00:00,1,150.2,0.04,4.07,14.31,0.03,3.44,3.74,0.73
-122.4797,44.7521,2022-09-22 13:00:00,1,171.9,0.0,0.76,73.67,0.16,3.63,4.34,0.14
-122.4626,47.2263,2022-09-22 13:00:00,1,190.26,0.0,1.84,67.23,0.54,6.55,8.09,0.03
-122.4565,48.76,2022-09-22 13:00:00,2,293.73,0.0,15.25,50.07,4.23,11.26,13.1,0.61
-122.4517,47.1864,2022-09-22 13:00:00,1,188.59,0.0,3.51,57.22,1.15,7.39,8.78,0.13
-122.4109,45.8639,2022-09-22 13:00:00,1,211.95,0.0,7.28,43.27,1.46,7.46,9.32,0.26
-122.3978,37.7658,2022-09-22 13:00:00,1,317.1,0.03,31.53,31.11,5.66,8.79,11.89,2.5
-122.3858,47.2656,2022-09-22 13:00:00,1,196.93,0.0,4.93,63.66,1.82,8.13,9.77,0.15
-122.3792,40.5497,2022-09-22 13:00:00,1,171.9,0.21,4.11,9.66,0.08,1.38,1.46,0.21
-122.3571,37.9604,2022-09-22 13:00:00,1,201.94,0.0,10.63,44.7,3.99,4.43,5.35,0.62
-122.3383,47.56,2022-09-22 13:00:00,1,200.27,0.0,4.5,67.95,1.13,7.87,9.8,0.1
-122.3376,48.4102,2022-09-22 13:00:00,2,277.04,0.0,10.37,50.78,3.07,10.84,12.57,0.68
-122.3326,45.2914,2022-09-22 13:00:00,1,186.92,0.0,2.61,66.52,0.82,4.81,5.99,0.23
-122.3203,47.5297,2022-09-22 13:00:00,1,200.27,0.0,4.5,67.95,1.13,7.87,9.8,0.1
-122.3197,47.5972,2022-09-22 13:00:00,1,200.27,0.0,4.5,67.95,1.13,7.87,9.8,0.1
-122.3183,41.3127,2022-09-22 13:00:00,1,200.27,0.0,8.05,50.07,0.06,2.22,2.25,2.44
-122.3097,49.0428,2022-09-22 13:00:00,3,290.39,0.05,12.0,20.39,2.8,21.97,26.6,4.18
-122.3086,47.5682,2022-09-22 13:00:00,1,200.27,0.0,4.5,67.95,1.13,7.87,9.8,0.1
-122.2978,40.4531,2022-09-22 13:00:00,1,171.9,0.21,4.11,9.66,0.08,1.38,1.46,0.21
-122.2852,48.0653,2022-09-22 13:00:00,2,233.65,0.0,10.54,49.35,2.74,10.73,13.01,0.31
-122.2824,37.8148,2022-09-22 13:00:00,1,201.94,0.0,10.63,44.7,3.99,4.43,5.35,0.62
-122.2784,47.4985,2022-09-22 13:00:00,1,200.27,0.0,4.5,67.95,1.13,7.87,9.8,0.1
-122.2772,47.7536,2022-09-22 13:00:00,1,210.29,0.0,6.6,63.66,2.0,8.8,11.07,0.2
-122.2634,37.7936,2022-09-22 13:00:00,1,317.1,0.03,31.53,31.11,5.66,8.79,11.89,2.5
-122.2557,40.1709,2022-09-22 13:00:00,1,176.91,0.0,1.74,26.46,0.1,1.47,1.66,0.57
-122.238,38.1025,2022-09-22 13:00:00,1,191.93,0.12,7.11,7.42,0.19,5.54,7.08,5.32
-122.2302,47.3861,2022-09-22 13:00:00,1,196.93,0.0,4.93,63.66,1.82,8.13,9.77,0.15
-122.2233,47.2814,2022-09-22 13:00:00,1,196.93,0.0,4.93,63.66,1.82,8.13,9.77,0.15
-122.2022,37.4828,2022-09-22 13:00:00,1,223.64,0.02,14.57,39.34,0.97,4.84,6.95,0.56
-122.1908,39.5339,2022-09-22 13:00:00,1,181.91,0.0,2.23,27.54,0.06,1.09,1.23,0.77
-122.1828,44.7283,2022-09-22 13:00:00,1,156.88,0.0,0.62,55.79,0.09,2.02,2.21,0.08
-122.1715,48.0543,2022-09-22 13:00:00,2,240.33,0.0,8.74,50.07,1.86,10.67,12.64,0.41
-122.1699,37.7431,2022-09-22 13:00:00,2,297.07,0.06,29.13,26.11,4.11,10.61,14.85,1.28
-122.1484,47.6009,2022-09-22 13:00:00,2,220.3,0.0,11.48,54.36,2.89,10.14,12.42,0.27
-122.1471,48.9477,2022-09-22 13:00:00,1,240.33,0.1,13.37,17.17,2.86,6.02,9.72,21.03
-122.1451,42.9109,2022-09-22 13:00:00,1,150.2,0.0,0.81,40.05,0.02,1.71,1.76,0.36
-122.0647,47.5525,2022-09-22 13:00:00,1,211.95,0.0,9.6,61.51,3.01,9.5,11.51,0.28
-122.025,37.9383,2022-09-22 13:00:00,1,290.39,0.15,30.5,18.6,6.08,9.05,12.21,1.41
-121.9989,39.1892,2022-09-22 13:00:00,1,230.31,0.02,4.03,14.84,0.19,3.42,3.72,0.52
-121.9499,38.3566,2022-09-22 13:00:00,1,205.28,0.58,9.34,7.69,0.08,3.78,4.76,0.93
-121.9406,49.1561,2022-09-22 13:00:00,2,236.99,0.24,10.97,9.57,1.45,10.06,16.87,6.08
-121.9379,47.1411,2022-09-22 13:00:00,1,181.91,0.0,2.74,67.95,0.81,6.99,8.25,0.25
-121.9216,42.5411,2022-09-22 13:00:00,1,163.56,0.0,0.37,67.95,0.04,0.92,0.94,0.25
-121.903,37.7012,2022-09-22 13:00:00,2,287.06,0.1,21.59,21.28,1.49,13.53,16.05,0.53
