TRT_ID,coord.lon,coord.lat,aqi.dt,aqi.main.aqi,aqi.components.co,aqi.components.no,aqi.components.no2,aqi.components.o3,aqi.components.so2,aqi.components.pm2_5,aqi.components.pm10,aqi.components.nh3
52691,-72.6887,41.9304,1670523624,1,223.64,0.17,1.36,75.1,0.57,0.82,1.04,0.06
52695,-88.1299,43.4869,1670523624,1,208.62,0.25,1.97,72.96,1.24,0.5,0.9,0.16
52696,-81.7677,36.1595,1670523624,1,208.62,0.24,1.8,32.54,0.18,1.13,1.31,0.03
52697,-74.405,40.4317,1670523624,1,243.66,0.52,2.4,72.24,1.13,1.08,1.35,0.14
52699,-111.9671,33.6759,1670523624,2,343.8,3.21,6.51,39.34,0.29,17.63,33.62,1.63
52701,-74.2376,40.8043,1670523624,1,250.34,0.26,2.16,60.8,0.44,0.73,0.97,0.08
52702,-97.968,29.8597,1670523624,1,190.26,0.49,2.57,49.35,2.06,4.43,5.89,0.06
52703,-79.8298,37.8261,1670523624,1,253.68,1.58,3.77,20.21,0.19,3.49,3.84,0.1
52704,-80.7507,35.3083,1670523624,1,277.04,1.96,10.03,12.52,3.22,6.34,7.67,0.01
52705,-99.7646,32.3962,1670523624,1,190.26,0.12,0.99,47.92,0.51,2.52,3.6,0.12
52706,-111.662,35.1796,1670523624,1,253.68,3.74,6.94,63.66,0.14,7.86,13.35,0.87
52707,-106.3339,42.8625,1670523624,1,198.6,0.55,2.34,71.53,1.43,0.96,3.54,1.3
52708,-85.3122,35.0533,1670523624,1,260.35,3.97,3.86,1.63,0.57,3.59,4.15,0.13
52709,-77.0595,42.1494,1670523624,1,267.03,0.29,4.63,43.99,1.85,1.97,2.1,0.1
52710,-120.4588,34.6575,1670523624,1,267.03,1.96,8.31,34.69,0.22,7.66,9.13,0.34
52712,-97.1282,31.5594,1670523624,1,203.61,0.59,4.2,37.55,0.55,3.13,3.9,0.24
52714,-122.68,45.5175,1670523624,1,273.71,0.14,12.0,47.21,1.58,2.72,3.29,0.34
52716,-122.4049,37.7952,1670523624,2,433.92,2.96,40.44,24.32,4.23,17.38,21.29,0.72
52717,-119.6777,34.4173,1670523624,1,193.6,0.67,2.04,50.07,0.07,1.71,2.24,0.26
52718,-90.1918,38.63,1670523624,2,310.42,1.22,14.74,24.68,5.66,11.8,12.43,0.13
52724,-96.7346,43.5481,1670523624,1,260.35,0.46,7.97,49.35,1.64,7.06,7.9,5.38
52739,-93.2546,44.1366,1670523624,1,263.69,2.52,5.01,46.49,2.12,6.7,7.54,2.41
52740,-111.8924,33.614,1670523624,2,343.8,3.21,6.51,39.34,0.29,17.63,33.62,1.63
52741,-97.5085,25.9626,1670523624,1,196.93,0.26,1.11,70.81,0.97,4.44,14.5,0.39
52742,-87.9608,42.0105,1670523624,1,233.65,0.56,6.26,55.79,2.74,1.61,2.5,0.35
52743,-115.1636,36.1181,1670523624,4,1121.52,92.09,63.06,13.05,4.11,44.36,74.33,12.79
52744,-81.2937,28.4196,1670523624,1,240.33,2.29,12.17,75.82,1.61,6.14,8.69,0.36
52745,-83.3105,30.8193,1670523624,1,200.27,0.19,1.04,60.08,0.19,5.68,10.56,0.44
52747,-97.5058,25.9459,1670523624,1,196.93,0.26,1.11,70.81,0.97,4.44,14.5,0.39
52748,-89.1454,45.1657,1670523624,1,216.96,0.8,2.49,63.66,1.13,0.74,0.87,0.41
52749,-83.7498,31.958,1670523624,1,188.59,0.59,1.95,42.2,0.35,5.02,10.36,0.34
52750,-103.6137,43.7637,1670523624,2,181.91,0.07,1.18,86.55,5.25,1.06,3.28,0.14
52751,-79.7339,36.0536,1670523624,1,253.68,1.27,5.66,16.09,1.68,3.82,4.57,0.0
52752,-95.5782,29.7366,1670523624,1,208.62,1.63,8.4,59.37,8.58,5.93,15.65,0.21
52753,-92.722,44.9692,1670523624,1,277.04,4.02,7.03,43.27,2.44,4.72,5.78,2.57
52754,-89.293,43.1353,1670523624,1,247.0,2.01,5.83,60.08,1.62,1.93,2.95,0.96
52755,-93.4619,44.7843,1670523624,1,330.45,7.04,10.63,36.12,1.52,6.31,9.65,3.9
52756,-85.5893,30.1543,1670523624,1,220.3,2.77,10.71,42.92,4.29,4.58,9.41,0.43
52757,-122.5686,45.5781,1670523624,1,307.08,0.33,20.74,40.41,2.3,4.25,4.93,0.61
52758,-122.3583,40.574,1670523623,2,317.1,0.29,15.94,25.39,1.36,12.07,13.11,0.01
52759,-121.2126,45.62,1670523624,1,257.02,0.1,3.81,52.21,0.14,2.79,3.09,0.5
52760,-97.1605,31.4937,1670523624,1,203.61,0.59,4.2,37.55,0.55,3.13,3.9,0.24
52761,-112.196,35.2507,1670523624,1,188.59,0.69,1.97,72.96,0.11,5.08,7.49,0.52
52762,-88.4766,43.756,1670523624,1,226.97,1.06,4.33,67.95,2.62,0.72,1.77,0.68
52765,-95.4112,29.0109,1670523624,1,183.58,0.06,0.44,67.95,0.4,3.54,12.34,0.01
52766,-82.4291,36.376,1670523624,1,280.38,3.69,8.57,9.12,2.33,9.27,10.26,0.0
52768,-120.1462,34.596,1670523624,1,247.0,1.41,5.27,50.07,0.12,5.8,7.75,1.0
52770,-75.0645,38.3896,1670523624,1,267.03,1.2,8.05,55.08,2.95,3.45,3.98,0.32
52771,-96.7276,43.5495,1670523624,1,260.35,0.46,7.97,49.35,1.64,7.06,7.9,5.38
52776,-73.6816,43.3282,1670523624,1,220.3,0.12,0.89,77.25,0.48,0.5,0.56,0.05
52777,-81.1598,34.0777,1670523624,1,236.99,0.7,3.94,13.95,0.48,4.85,5.69,0.0
52778,-97.5073,25.9641,1670523624,1,196.93,0.26,1.11,70.81,0.97,4.44,14.5,0.39
52779,-84.2656,34.0738,1670523624,1,243.66,1.79,11.48,14.84,4.59,7.48,9.31,0.0
52780,-95.0418,29.4121,1670523624,1,195.27,0.48,2.4,74.39,0.61,4.26,13.0,0.15
52781,-122.3992,37.6568,1670523624,4,761.03,35.76,78.83,3.35,10.61,47.35,56.28,1.41
52782,-97.7194,30.3983,1670523624,1,201.94,0.8,3.94,46.49,1.57,3.9,5.16,0.16
52783,-115.75,40.854,1670523624,1,211.95,1.84,3.6,57.94,0.04,2.03,3.89,3.04
52784,-96.6418,33.1768,1670523624,1,223.64,2.29,7.71,41.49,1.49,3.39,4.71,0.42
52785,-97.6867,30.4798,1670523624,1,196.93,0.66,2.72,47.92,1.7,3.62,4.64,0.09
52786,-97.2005,37.721,1670523624,1,303.75,1.68,10.28,10.55,0.97,6.64,7.38,0.4
52787,-95.588,29.64,1670523624,1,208.62,1.63,8.4,59.37,8.58,5.93,15.65,0.21
52788,-82.4169,28.0536,1670523624,2,211.95,0.32,2.51,82.97,0.68,5.77,8.0,0.07
52789,-79.8464,34.1868,1670523624,1,250.34,0.98,4.33,25.03,0.98,5.52,6.35,0.23
52790,-93.1873,45.0786,1670523624,1,387.19,12.29,16.62,32.54,3.04,8.73,11.0,3.93
52791,-78.7325,35.7584,1670523624,1,270.37,1.57,5.66,33.98,1.1,4.92,5.63,0.0
52792,-95.7572,39.0411,1670523624,2,307.08,1.13,14.22,15.74,3.28,12.81,12.94,0.05
52803,-85.6411,40.068,1670523624,2,273.71,0.48,4.41,50.07,0.75,10.03,10.99,0.49
52808,-98.3606,30.5465,1670523624,1,186.92,0.18,0.81,47.92,0.17,1.19,1.57,0.14
52853,-119.9716,38.9453,1670523624,2,158.55,0.03,0.31,81.54,0.04,0.5,0.58,0.08
52915,-117.1776,32.6805,1670523624,4,894.55,76.89,39.76,9.12,1.83,28.28,38.89,4.5
52919,-89.8324,34.9491,1670523624,1,210.29,0.71,4.28,22.17,2.0,2.07,2.39,0.09
52927,-85.2583,45.3203,1670523624,2,203.61,0.22,1.3,94.41,1.01,0.5,0.53,0.02
52945,-98.9073,29.9663,1670523624,1,185.25,0.09,0.59,42.56,0.21,1.78,2.45,0.11
52993,-95.4331,30.1197,1670523624,1,213.62,0.8,6.34,52.93,3.49,6.71,13.98,0.09
53002,-106.8195,39.1908,1670523624,1,166.89,0.22,0.8,58.65,0.34,0.5,0.7,0.23
53045,-103.894,30.5891,1670523624,1,171.9,0.24,0.59,42.2,0.01,1.45,4.94,0.62
53096,-111.5133,40.6622,1670523624,2,387.19,14.75,19.71,39.34,10.73,19.7,26.52,0.49
53097,-83.1085,40.1007,1670523624,1,317.1,1.72,12.68,36.12,2.59,9.51,10.76,0.23
53098,-116.3802,33.7182,1670523624,2,347.14,3.58,12.17,62.94,0.54,7.73,22.98,1.87
53100,-90.05,29.97,1670523061,2,427.25,10.39,21.94,25.75,2.71,10.6,16.46,1.06
53134,-76.3121,40.1735,1670523624,1,370.5,2.57,19.71,28.97,3.37,4.83,5.55,0.78
53198,-93.2912,37.2071,1670523624,1,260.35,1.4,3.04,29.33,0.62,5.1,5.32,0.09
53199,-84.4852,40.2231,1670523624,2,300.41,1.55,9.34,36.12,2.71,11.96,13.93,0.39
53227,-122.4218,37.7844,1670523621,2,433.92,2.96,40.44,24.32,4.23,17.38,21.29,0.72
53230,-95.3903,29.7245,1670523624,1,220.3,2.15,9.6,64.37,7.75,5.63,15.02,0.39
53244,-95.3319,29.9865,1670523624,1,240.33,3.24,14.22,55.79,8.94,6.79,16.42,0.44
53245,-95.6977,29.7872,1670523624,1,190.26,0.16,1.61,63.66,0.62,4.82,13.34,0.09
53249,-73.9754,41.3393,1670523624,1,236.99,0.21,1.54,73.67,0.52,0.74,0.89,0.09
53252,-75.3427,40.6779,1670523622,1,233.65,0.15,2.23,75.1,0.78,0.76,1.01,0.11
53253,-87.639,41.5711,1670523624,1,270.37,1.73,17.65,47.21,7.63,5.37,8.02,0.49
53257,-86.1418,40.0499,1670523624,1,257.02,0.4,3.94,57.22,0.69,9.68,10.56,0.48
53258,-86.7968,36.1504,1670523623,2,303.75,4.36,7.88,3.0,1.07,10.61,11.09,0.21
53261,-86.7769,36.1585,1670523624,2,303.75,4.36,7.88,3.0,1.07,10.61,11.09,0.21
53262,-122.0135,37.3287,1670523624,4,687.6,41.57,38.39,2.12,2.09,34.63,41.36,2.88
53264,-81.1049,24.7091,1670523624,2,185.25,0.04,0.27,87.26,0.46,2.77,9.58,0.0
53265,-80.0857,26.3505,1670523624,2,193.6,0.27,1.44,87.26,0.68,3.26,8.11,0.09
53266,-88.2439,40.1181,1670523624,1,263.69,0.5,5.57,53.64,0.76,8.12,8.64,0.3
53267,-79.0627,35.8812,1670523624,1,273.71,1.57,8.65,14.84,3.79,4.59,5.33,0.0
53268,-80.0715,26.4639,1670523624,2,198.6,0.3,1.63,87.98,0.83,3.46,7.81,0.1
53270,-95.3698,29.7604,1670523434,1,220.3,2.15,9.6,64.37,7.75,5.63,15.02,0.39
53271,-116.331,33.7208,1670523623,2,347.14,3.58,12.17,62.94,0.54,7.73,22.98,1.87
53272,-119.942,39.2401,1670523624,1,171.9,0.23,1.89,75.1,0.03,0.55,0.75,0.2
53273,-121.8763,36.5924,1670523624,1,233.65,0.09,2.25,62.23,0.49,4.99,6.29,0.16
53274,-117.8903,33.6166,1670523624,5,1602.17,135.9,91.85,11.27,8.11,103.8,124.85,5.38
53275,-87.8595,41.981,1670523624,1,267.03,1.63,15.42,48.64,4.71,3.98,5.37,0.76
53276,-81.4686,28.4276,1670523624,2,220.3,0.64,3.77,80.82,0.67,7.42,10.07,0.24
