base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,rain.1h,weather.id,weather.main,weather.description,weather.icon
stations,10000.0,2022-09-22 13:00:00,-21600.0,5520993.0,El Paso,200.0,-106.455,31.7656,23.83,23.55,22.73,25.12,1016.0,49.0,2.75,110.0,0.0,2.0,2034533.0,US,2022-09-22 12:54:04,2022-09-23 01:03:00,1016.0,894.0,3.82,,802,Clouds,scattered clouds,03d
stations,10000.0,2022-09-22 13:00:00,-21600.0,3983139.0,Senecú,200.0,-106.4028,31.7467,23.5,23.18,22.74,25.14,1009.0,49.0,2.66,109.0,0.0,2.0,2005449.0,MX,2022-09-22 12:53:52,2022-09-23 01:02:47,,,3.81,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5832481.0,Mills,200.0,-106.365,42.8223,10.82,10.23,9.19,10.82,1019.0,87.0,3.09,80.0,0.0,2.0,2009712.0,US,2022-09-22 12:52:49,2022-09-23 01:03:32,,,,,802,Clouds,scattered clouds,03d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5530932.0,Socorro,200.0,-106.2877,31.6675,22.2,21.83,18.54,25.19,1009.0,52.0,2.67,110.0,0.0,2.0,2005449.0,US,2022-09-22 12:53:25,2022-09-23 01:02:19,,,4.23,,802,Clouds,scattered clouds,03d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5462064.0,Cieneguilla,200.0,-106.0797,35.6198,14.16,13.75,11.97,16.69,1021.0,81.0,5.66,150.0,0.0,1.0,5770.0,US,2022-09-22 12:52:18,2022-09-23 01:01:46,,,11.32,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5666176.0,Miles City,200.0,-105.8127,46.4114,13.55,12.19,13.55,13.55,1017.0,47.0,6.69,120.0,75.0,1.0,4930.0,US,2022-09-22 12:50:12,2022-09-23 01:01:43,,,,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5493811.0,Taos,200.0,-105.5833,36.3833,12.85,12.72,12.21,15.3,1019.0,97.0,2.06,110.0,20.0,2.0,2006121.0,US,2022-09-22 12:50:16,2022-09-23 00:59:50,,,,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5830062.0,Laramie,200.0,-105.5491,41.3088,6.98,2.83,4.21,8.99,1022.0,91.0,7.72,160.0,75.0,2.0,2012429.0,US,2022-09-22 12:49:42,2022-09-23 01:00:07,,,,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5826027.0,Gillette,200.0,-105.517,44.288,10.32,9.55,9.73,10.45,1016.0,82.0,9.77,140.0,100.0,2.0,2046278.0,US,2022-09-22 12:49:16,2022-09-23 01:00:18,,,16.46,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5642048.0,Broadus,200.0,-105.3703,45.4403,14.14,13.02,14.14,14.14,1015.0,54.0,9.35,155.0,100.0,,,US,2022-09-22 12:48:33,2022-09-23 00:59:50,1015.0,910.0,17.5,,803,Clouds,broken clouds,04d
stations,8047.0,2022-09-22 13:00:00,-21600.0,5574991.0,Boulder,200.0,-105.2667,40.0128,9.31,8.82,7.92,12.6,1024.0,94.0,1.54,20.0,100.0,2.0,2013142.0,US,2022-09-22 12:48:41,2022-09-23 00:58:52,,,,,801,Clouds,few clouds,02d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5579276.0,Longmont,200.0,-105.1009,40.1646,9.69,9.25,8.04,12.29,1022.0,94.0,1.54,20.0,100.0,2.0,2039071.0,US,2022-09-22 12:48:01,2022-09-23 00:58:13,,,,,803,Clouds,broken clouds,04d
stations,8047.0,2022-09-22 13:00:00,-21600.0,5577147.0,Fort Collins,200.0,-105.0798,40.5713,8.89,6.35,7.99,11.4,1025.0,95.0,4.63,120.0,100.0,2.0,2035178.0,US,2022-09-22 12:47:53,2022-09-23 00:58:11,,,,,804,Clouds,overcast clouds,04d
stations,2414.0,2022-09-22 13:00:00,-21600.0,5417657.0,Columbine,200.0,-105.07,39.5339,9.79,9.79,8.26,12.13,1020.0,95.0,0.45,27.0,100.0,2.0,53496.0,US,2022-09-22 12:47:57,2022-09-23 00:58:03,,,0.89,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5419384.0,Denver,200.0,-105.0153,39.7321,10.02,9.53,8.15,12.5,1023.0,94.0,1.95,11.0,100.0,2.0,2036196.0,US,2022-09-22 12:47:43,2022-09-23 00:57:51,,,1.38,,701,Mist,mist,50d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5413519.0,Berkley,200.0,-105.0052,39.7794,9.83,8.94,8.06,12.41,1024.0,94.0,2.07,10.0,100.0,2.0,2004233.0,US,2022-09-22 12:47:40,2022-09-23 00:57:48,,,1.45,,701,Mist,mist,50d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5413519.0,Berkley,200.0,-104.9885,39.7856,9.91,9.0,8.16,11.86,1024.0,94.0,2.11,8.0,100.0,2.0,2004233.0,US,2022-09-22 12:47:36,2022-09-23 00:57:44,,,1.49,,701,Mist,mist,50d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5419384.0,Denver,200.0,-104.9872,39.7511,9.94,9.03,8.1,11.8,1022.0,94.0,2.11,9.0,100.0,2.0,2004334.0,US,2022-09-22 12:47:36,2022-09-23 00:57:44,,,1.45,,701,Mist,mist,50d
stations,8047.0,2022-09-22 13:00:00,-21600.0,5423075.0,Glendale,200.0,-104.9394,39.7386,9.81,9.39,7.92,11.62,1022.0,94.0,1.54,270.0,100.0,2.0,2010438.0,US,2022-09-22 12:47:24,2022-09-23 00:57:32,,,,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5419431.0,Derby,200.0,-104.9365,39.8281,9.98,9.08,8.29,11.99,1024.0,93.0,2.11,4.0,100.0,2.0,2004233.0,US,2022-09-22 12:47:23,2022-09-23 00:57:32,,,1.65,,804,Clouds,overcast clouds,04d
stations,805.0,2022-09-22 13:00:00,-21600.0,5417598.0,Colorado Springs,200.0,-104.8286,38.848,8.3,5.62,7.38,11.41,1026.0,95.0,4.63,140.0,100.0,2.0,2008824.0,US,2022-09-22 12:47:02,2022-09-23 00:57:01,,,,,804,Clouds,overcast clouds,04d
stations,402.0,2022-09-22 13:00:00,-21600.0,5835956.0,Ranchettes,200.0,-104.7783,41.1822,6.92,3.08,6.14,7.2,1024.0,98.0,6.69,160.0,100.0,1.0,3752.0,US,2022-09-22 12:46:38,2022-09-23 00:57:02,,,,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5577592.0,Greeley,200.0,-104.7061,40.4147,9.38,7.44,8.77,10.68,1026.0,94.0,3.6,110.0,100.0,2.0,2009345.0,US,2022-09-22 12:46:25,2022-09-23 00:56:40,,,,,701,Mist,mist,50d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5673849.0,Richland,200.0,-104.6769,47.8679,6.85,2.65,4.76,7.37,1020.0,56.0,7.76,122.0,100.0,2.0,2036326.0,US,2022-09-22 12:45:28,2022-09-23 00:57:22,1020.0,936.0,16.89,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5699404.0,Scottsbluff,200.0,-103.6581,41.8756,8.95,6.22,8.64,10.62,1023.0,93.0,5.14,130.0,100.0,1.0,3415.0,US,2022-09-22 12:42:05,2022-09-23 00:52:37,,,,,300,Drizzle,light intensity drizzle,09d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5690471.0,Medora,200.0,-103.5144,46.9497,8.03,3.96,8.03,8.69,1021.0,57.0,8.57,135.0,82.0,2.0,2004074.0,US,2022-09-22 12:40:56,2022-09-23 00:52:37,1021.0,935.0,16.89,,741,Fog,fog,50d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5765751.0,Hot Springs,200.0,-103.4837,43.5576,9.31,6.98,7.97,9.71,1022.0,64.0,4.39,153.0,100.0,1.0,3726.0,US,2022-09-22 12:41:12,2022-09-23 00:52:06,1022.0,878.0,8.95,,741,Fog,fog,50d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5768233.0,Rapid City,200.0,-103.2738,44.0874,10.27,9.08,8.54,12.87,1024.0,66.0,5.14,130.0,100.0,2.0,2002706.0,US,2022-09-22 12:40:19,2022-09-23 00:51:19,,,,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5690440.0,McKenzie,200.0,-103.2642,47.6011,6.19,1.9,3.99,7.16,1023.0,63.0,7.44,133.0,61.0,1.0,5761.0,US,2022-09-22 12:39:51,2022-09-23 00:51:42,1023.0,951.0,16.1,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5517580.0,Brewster,200.0,-103.1781,29.3025,22.73,22.44,22.73,22.73,1017.0,53.0,1.48,43.0,0.0,2.0,2008469.0,US,2022-09-22 12:41:07,2022-09-23 00:49:45,1017.0,902.0,1.63,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5471578.0,Hobbs,200.0,-103.1233,32.7267,20.05,19.76,18.33,21.14,1020.0,63.0,2.57,0.0,0.0,2.0,37771.0,US,2022-09-22 12:40:41,2022-09-23 00:49:44,,,,,803,Clouds,broken clouds,04d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5690380.0,Manning,200.0,-102.646,47.3426,3.52,-0.85,3.52,3.52,1024.0,84.0,5.7,134.0,84.0,2.0,2011718.0,US,2022-09-22 12:37:25,2022-09-23 00:49:11,1024.0,943.0,14.14,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5688119.0,Bowbells,200.0,-102.4022,48.6419,5.96,2.26,5.96,5.96,1025.0,73.0,5.64,144.0,66.0,1.0,3776.0,US,2022-09-22 12:36:16,2022-09-23 00:48:23,1025.0,942.0,11.78,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5527554.0,Odessa,200.0,-102.3348,31.8703,21.42,21.47,19.64,21.77,1020.0,71.0,3.09,170.0,0.0,2.0,2039489.0,US,2022-09-22 12:37:35,2022-09-23 00:46:32,,,,,803,Clouds,broken clouds,04d
stations,10000.0,2022-09-22 13:00:00,-21600.0,5765964.0,Jackson,200.0,-101.9411,43.7469,7.55,4.52,7.55,7.55,1023.0,29.0,5.01,132.0,100.0,1.0,5351.0,US,2022-09-22 12:35:01,2022-09-23 00:45:57,1023.0,938.0,8.97,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5516233.0,Amarillo,200.0,-101.9083,35.2006,12.8,12.41,12.29,13.42,1024.0,87.0,7.2,20.0,100.0,2.0,2039699.0,US,2022-09-22 12:35:39,2022-09-23 00:45:04,,,,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5525584.0,Lubbock,200.0,-101.787,33.5853,14.84,14.36,14.11,16.86,1023.0,76.0,3.6,360.0,20.0,1.0,4670.0,US,2022-09-22 12:35:16,2022-09-23 00:44:28,,,,,803,Clouds,broken clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5688003.0,Beulah,200.0,-101.7669,47.2986,1.98,1.98,1.45,6.43,1026.0,100.0,0.0,0.0,0.0,1.0,4461.0,US,2022-09-22 12:33:54,2022-09-23 00:45:40,,,,,803,Clouds,broken clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,3998655.0,León,200.0,-101.6803,21.1339,14.56,13.98,14.56,14.56,1019.0,73.0,0.78,67.0,3.0,,,MX,2022-09-22 12:35:32,2022-09-23 00:43:21,1019.0,825.0,1.49,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-18000.0,3998655.0,León,200.0,-101.6347,21.1018,14.49,13.93,14.49,14.49,1019.0,74.0,0.9,61.0,3.0,,,MX,2022-09-22 12:35:21,2022-09-23 00:43:10,1019.0,825.0,1.67,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5692798.0,Ward,200.0,-101.5716,47.9409,5.13,1.4,1.03,6.84,1026.0,78.0,5.22,144.0,83.0,2.0,2039824.0,US,2022-09-22 12:33:02,2022-09-23 00:44:59,1026.0,947.0,9.89,,804,Clouds,overcast clouds,04d
stations,10000.0,2022-09-22 13:00:00,-18000.0,4019869.0,Abasolo,200.0,-101.5287,20.4509,14.19,13.7,14.19,14.19,1018.0,78.0,1.45,74.0,84.0,,,MX,2022-09-22 12:34:57,2022-09-23 00:42:43,1018.0,834.0,2.44,,801,Clouds,few clouds,02d
stations,10000.0,2022-09-22 13:00:00,-18000.0,5688397.0,Center,200.0,-101.4281,47.1858,2.82,2.82,1.16,4.45,1025.0,95.0,0.0,0.0,0.0,2.0,2006765.0,US,2022-09-22 12:32:33,2022-09-23 00:44:18,,,,,800,Clear,clear sky,01d
stations,10000.0,2022-09-22 13:00:00,-18000.0,4004330.0,Irapuato,200.0,-101.356,20.675,14.32,13.82,14.32,14.32,1018.0,77.0,1.35,77.0,72.0,,,MX,2022-09-22 12:34:15,2022-09-23 00:42:02,1018.0,833.0,2.21,,800,Clear,clear sky,01d
